M1M2M3M4,E_homo,G_homo,E_M1,G_M1,E_M2,G_M2,E_M3,G_M3,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
CoCoCo,165.58,214.12,128.77,188.86,73.37,140.01,107.03,169.89,140.01,1.05824,0.99065,0.97198,-0.94858,0.74422,2.7018,2.5973,2.5912,0.50711,0.3512,-3.18718,-2.794,-3.02701,-3.49904,-2.29814,3.844328,0.673311,0.673311,1.997296845,1.942099539,1.84047194,85.31380846,125.3049937,108.4241247,-39.39193891,9,9,9
CoCoCu,132.32,179.81,135.5,196.28,130.78,194.87,140.61,200.66,179.81,1.0634,1.04156,0.82403,-0.88954,0.76952,2.714,2.6558,0.4027,0.60523,0.3867,-3.22696,-2.87157,-2.30783,-3.40096,-2.22755,3.931388,0.625906,0.625906,1.957071781,1.867134341,1.943639856,89.00835388,130.9751723,115.4713167,-32.02447769,9,9,11
CoCoFe,189.7,233.6,102.2,176.07,70.79,149.9,126.04,197.26,149.9,0.66683,0.75997,1.00239,-0.74742,0.60971,-0.9181,1.4431,3.6932,0.27926,0.1009,-2.00611,-2.58887,-4.26807,-3.83071,-1.76086,1.255263,0.719521,0.719521,1.954359636,1.947050961,1.841107343,86.38195085,94.08728413,85.16361859,-54.06263644,9,9,8
CoCoMn,463.91,532.56,530.82,631.48,515.57,617.79,539.07,634.16,532.56,0.64789,0.86314,0.74701,-0.624,0.60632,0,0,0,0,0,-2.03798,-2.08048,-1.81845,-4.48924,-2.05412,0.273588,0.273588,0.273588,1.832025245,2.164879463,1.901008946,82.89835239,132.3838768,106.0545767,-32.71847284,9,9,7
CoCoNi,139.19,186.16,101.19,161.23,110.26,170.04,111.51,165.48,161.23,1.0221,0.84005,0.81348,-0.74543,0.68596,2.6473,1.3506,1.3661,0.46324,0.319,-2.97152,-2.35106,-2.16922,-3.99329,-2.197,1.637951,0.586466,0.586466,2.042345143,1.805011835,1.930130838,91.33681814,132.0247935,121.8139575,-27.42668756,9,9,10
CoCoZn,169.29,213.09,122.46,186.6,72.69,138.36,111.54,174.38,138.36,1.07424,1.01946,1.18511,-1.06389,0.71354,2.7128,2.6083,0.0031,0.31733,0.3142,-3.23634,-2.76236,-6.72283,-3.3507,-2.18146,3.43801,0.593432,0.593432,1.973632709,1.90683827,1.877602815,88.32682181,132.1654382,114.9194011,-31.62773986,9,9,12
CoCuCo,146.98,200.74,108.78,171.03,105.78,170.71,80.91,155.72,155.72,1.02852,0.8688,1.01062,-0.89283,0.749,2.6661,0.4762,2.6336,0.55816,0.3968,-2.98715,-2.59728,-3.21377,-3.54709,-2.50583,3.749353,0.612567,0.612567,1.923207833,1.998420149,1.850941305,84.50838922,124.6481052,103.6060068,-39.06115996,9,11,9
CoCuCu,128.3,169.72,115.77,174.64,110.8,174.27,126.13,183.87,169.72,1.04838,0.91165,0.84523,-0.82384,0.76711,2.7034,0.5333,0.4321,0.66964,0.4165,-3.11695,-2.7454,-2.43754,-3.41048,-2.35465,3.901727,0.597208,0.597208,1.851321313,2.008102096,1.947641513,86.69496659,124.8485922,107.5245333,-37.18246907,9,11,11
CoCuFe,177.15,210.84,123.65,197.83,115.92,179.76,134.13,191.2,179.76,1.03444,0.93239,1.02677,-0.91003,0.67636,2.6612,-0.5704,3.6522,0.24923,0.302,-2.93058,-3.2353,-3.90731,-3.47365,-2.26567,0.852681,0.783572,0.783572,2.066067958,1.947488662,1.82143075,86.46643743,122.6484363,109.3874495,-41.28417232,9,11,8
CoCuMn,NaN,NaN,110.15,183.25,103.88,174.91,105.5,168.66,168.66,0.80485,0.90234,1.14191,-0.85353,0.58872,-1.5391,-0.5052,4.62793,-0.17414,-0.0841,-2.74136,-2.69482,-2.82596,-3.51583,-1.91147,0.754255,1.877456,0.754255,1.852932206,2.011821012,1.923096485,86.31390148,123.3202918,105.528075,-38.38107975,9,11,7
CoCuNi,143.83,184.26,111.17,166.52,93.41,157.19,88.53,152.14,152.14,1.02319,0.89632,1.00197,-0.91076,0.79474,2.6632,0.5079,1.6088,0.52516,0.4301,-2.97685,-2.76384,-2.93469,-3.5124,-2.45606,3.829783,0.693677,0.693677,1.908543537,2.004679799,1.844899229,84.28836762,122.9688326,112.9372102,-40.58601344,9,11,10
CoCuZn,131.73,175.18,105.38,163.44,94.36,157.49,93.1,155.56,155.56,1.03931,0.89528,1.19881,-1.00196,0.75764,2.6733,0.5095,0.0038,0.35993,0.3937,-3.01509,-2.80137,-6.61107,-3.33221,-2.46417,3.565655,0.581414,0.581414,1.893041356,1.994837035,1.885372446,85.66572573,124.9496991,104.8642951,-38.10782514,9,11,12
CoFeCo,176.94,236.41,116.76,187.56,124.21,194.37,99.37,161.66,161.66,0.97258,1.08756,0.96805,-0.90944,0.57913,2.6548,3.8476,2.5821,0.50962,0.1248,-3.04569,-4.50175,-2.85498,-3.28568,-1.75596,3.624223,0.965369,0.965369,2.008526624,1.973729483,1.889310716,80.60157117,121.906345,107.954343,-43.88899853,9,8,9
CoFeFe,NaN,NaN,121.72,191.17,121.51,195.73,122.03,189.25,189.25,0.97471,1.03349,1.01936,-0.90781,0.56911,2.6508,3.7967,3.6576,0.50609,0.0954,-3.13859,-4.57695,-3.77101,-3.56079,-1.90282,3.537719,0.714323,0.714323,2.016982721,2.00850054,1.854209237,80.22275014,124.7693551,103.5356448,-41.4380882,9,8,8
CoFeMn,NaN,NaN,117.69,185.62,127.58,197.45,106.1,166.39,166.39,0.97774,1.09899,1.09882,-0.95427,0.55431,2.6615,3.8596,4.69146,0.47387,0.1073,-3.05766,-4.55825,-2.80161,-3.25811,-1.60983,3.333669,0.991678,0.991678,2.009571747,1.941608863,1.975489942,81.48306098,129.012793,113.7632132,-38.37459745,9,8,7
CoFeNi,174.95,221.97,149.48,210,143.39,215.8,125.7,178.98,178.98,1.01335,1.22567,0.85075,-0.91291,0.65951,2.6674,3.9451,1.4363,0.56766,0.2125,-3.08853,-4.6215,-2.47202,-3.60804,-1.94187,3.672954,0.644038,0.644038,2.016372089,1.855475634,1.937178637,88.77662488,133.4617649,121.2088674,-28.28846603,9,8,10
CoFeZn,185.81,236.26,120.06,187.49,123.46,189.25,103.49,166.58,166.58,0.97297,1.08032,1.18424,-0.98626,0.54487,2.6474,3.8367,0.0148,0.3507,0.0635,-3.03948,-4.47935,-6.71806,-3.33309,-1.58049,3.245474,0.98955,0.98955,2.033340372,1.934067776,1.890089983,80.31418681,123.8251712,109.7722262,-43.275788,9,8,12
CoMnCo,NaN,NaN,121.69,186.15,133.99,200.8,103.23,162.53,162.53,0.93968,1.00135,0.92794,-0.86251,0.59205,2.6053,3.6657,2.5593,0.29836,0.0623,-2.96675,-3.58201,-2.94308,-3.52661,-1.64182,1.841481,1.323404,1.323404,2.041441333,1.902919444,1.872805654,85.14646615,102.2763353,101.446395,-54.8338933,9,7,9
CoMnMn,NaN,NaN,126.08,193.88,127.11,194.6,110.13,174.32,174.32,0.96185,1.05074,1.10499,-0.93165,0.56878,2.6245,3.7211,4.67616,0.24434,0.0694,-2.90058,-3.77054,-3.01243,-3.57121,-1.72408,1.6479,1.246958,1.246958,2.053786456,1.874555937,1.968130902,87.79845216,119.4975476,114.0751927,-42.77820106,9,7,7
CoMnNi,166.16,211.98,118.79,181.76,134.47,203.78,100.31,162.53,162.53,1.03288,1.04984,0.80441,-0.90724,0.67492,2.6893,3.7224,1.3048,0.29807,0.2361,-2.99904,-3.22752,-2.04157,-3.22695,-2.11721,2.44339,0.557596,0.557596,2.02506805,1.897450986,1.920056934,91.28974239,124.4829362,116.4601448,-35.9705229,9,7,10
CoMnZn,NaN,NaN,127.31,192.89,127.32,194.22,104.9,170.5,170.5,0.95541,1.01118,1.19784,-0.9692,0.57227,2.608,3.6644,0.0129,0.1468,0.0327,-2.91082,-3.80574,-6.99504,-3.65116,-1.6736,1.708581,1.406472,1.406472,2.040587331,1.888200534,1.896019708,86.25385564,117.2315559,108.3907717,-45.26133441,9,7,12
CoNiCo,NaN,NaN,130.11,193.77,117.26,183.24,108.57,172.72,172.72,1.0709,1.04443,0.97572,-0.9553,0.72444,2.7031,1.6438,2.5959,0.52595,0.3273,-3.0217,-2.76256,-3.04505,-3.42696,-2.01252,3.724326,0.87622,0.87622,1.995159337,1.929135115,1.843449425,92.42461643,131.9249947,118.9916159,-27.44738719,9,10,9
CoNiCu,133.97,177.52,135.32,195.18,116.97,182.07,138.1,197.28,177.52,1.07665,1.04088,0.84794,-0.90732,0.76563,2.73,1.6411,0.4369,0.58224,0.3819,-3.15251,-2.55914,-2.40759,-3.20899,-2.05965,3.892869,0.696759,0.696759,1.929319152,1.90580833,1.925694291,94.42580137,132.2856346,119.6565111,-24.60557031,9,10,11
CoNiFe,172.67,223.15,125.63,182.83,135.7,194.12,123.74,179.37,179.37,1.01473,0.98293,1.05786,-0.92624,0.66249,2.6524,1.643,3.7181,0.50244,0.2933,-2.90323,-2.55305,-3.98376,-3.31031,-2.33135,3.603873,0.718319,0.718319,2.073952581,2.039127072,1.810902016,84.67984042,130.3915584,114.1878424,-35.61860667,9,10,8
CoNiMn,NaN,NaN,126.12,188.95,111.3,178.75,114.74,173.63,173.63,1.07068,1.05081,1.11127,-1.0284,0.71752,2.7152,1.6542,4.7057,0.43518,0.331,-3.10846,-2.76891,-2.80469,-3.26222,-1.87348,3.390108,0.821414,0.821414,1.977801425,1.915648203,1.953758257,93.22481905,139.7157654,124.3255593,-11.32659496,9,10,7
CoNiNi,157.28,200.82,102.68,171.77,115.01,180.98,99.88,162.59,162.59,0.84908,0.98882,1.00211,-0.86489,0.56758,1.6207,1.6301,1.5969,0.35758,0.0984,-2.80704,-2.3737,-2.85015,-3.42722,-1.62941,1.743499,0.862206,0.862206,1.872862708,2.066272389,1.844128885,84.1321691,125.581499,117.179169,-37.95222847,9,10,10
CoNiZn,NaN,NaN,125.88,189.67,108.21,173.83,115.18,174.74,173.83,1.08234,1.05301,1.18022,-1.0642,0.6996,2.7204,1.632,0.0001,0.3249,0.296,-3.11104,-2.6941,-6.56074,-3.18299,-1.9129,3.356944,0.836995,0.836995,1.961538471,1.91022618,1.877174096,93.5152528,134.8692526,118.5669429,-23.60270876,9,10,12
CoZnCo,109.84,153.25,128.01,189.34,103.67,169.69,108.66,171.52,153.25,1.0764,1.2255,0.97401,-1.01911,0.72133,2.7016,-0.008,2.5866,0.4124,0.3229,-3.00317,-6.1964,-3.018,-3.31021,-1.96267,3.619793,0.94779,0.94779,1.998058727,1.957961417,1.827398315,89.83457799,134.5176181,115.4611835,-28.41113891,9,12,9
CoZnCu,117.14,169.9,139.53,195.2,127.98,196.33,132.41,193.94,169.9,1.07284,1.25756,0.8599,-1.00692,0.78493,2.7354,0.0042,0.4301,0.44876,0.3858,-3.34004,-6.36134,-2.66478,-3.73128,-1.9769,3.676776,0.321292,0.321292,1.918701675,1.958104839,1.929502433,93.86951314,135.6120577,129.4596604,7.644148163,9,12,11
CoZnMn,112.05,160.86,122.45,186.15,100.26,160.56,114.83,175.3,160.56,1.0757,1.22883,1.09629,-1.08724,0.70393,-2.6969,0.0123,4.65691,-0.0242,-0.2629,-3.12944,-6.25655,-2.81911,-3.26789,-1.89095,0.769944,1.954211,0.769944,1.977060521,1.939485143,1.910781179,90.60358196,142.4745614,120.2737372,-16.41472212,9,12,7
CoZnNi,134.76,185.46,98.3,170.97,96.25,168.52,86.39,147.43,147.43,0.8702,1.21111,0.95024,-0.86678,0.62801,1.6444,-0.0039,1.5101,0.34328,0.1695,-2.754,-5.56686,-2.56355,-3.14039,-1.91693,1.941638,0.633512,0.633512,1.831059724,2.148539973,1.894706688,85.74962678,130.4676863,111.0408442,-32.85383726,9,12,10
CuCoCo,157.78,206.59,92.64,157.19,106.25,175.22,98.36,164.81,157.19,0.91066,1.01677,0.96854,-0.9205,0.7538,0.5481,2.6271,2.5785,0.52013,0.3956,-2.75238,-2.83281,-3.06706,-3.34699,-2.51731,3.922501,0.497744,0.497744,2.038361696,1.898171031,1.849581443,86.48937556,119.1124075,108.9258895,-43.85194152,11,9,9
CuCoCu,115.85,160.3,103.27,168.38,117.23,181.27,103.08,164.79,160.3,0.8948,1.05987,0.85618,-0.83461,0.76565,0.5325,2.6912,0.4378,0.65667,0.4057,-2.52215,-2.99964,-2.34763,-3.30966,-2.2674,4.029122,0.626979,0.626979,2.015551869,1.851400901,1.926787667,87.15616162,117.6152088,110.6970461,-44.5250442,11,9,11
CuCoFe,180.48,214.31,92.03,158.24,65.98,129.68,126.29,177.01,129.68,0.9008,1.03807,1.05257,-0.93808,0.69081,0.5496,2.6499,3.6903,0.49602,0.332,-2.82313,-2.94653,-3.87614,-3.42746,-2.4366,3.701574,0.477431,0.477431,2.053078216,1.938029592,1.840352466,85.24088782,115.2978116,110.5621019,-47.30628211,11,9,8
CuCoNi,NaN,NaN,99.54,164.63,111.85,177.3,75.16,142.26,142.26,0.88784,1.02571,1.01718,-0.92672,0.76907,0.5239,2.6383,1.6058,0.49788,0.4074,-2.6098,-2.86994,-2.89475,-3.32654,-2.45362,3.911466,0.67362,0.67362,2.014448445,1.901576233,1.846784632,85.7438913,115.706116,111.9366064,-46.6869264,11,9,10
CuCoZn,160.07,199.33,92.09,158.75,65.33,129.19,102.67,166.61,129.19,0.89179,1.01037,1.20575,-1.0211,0.76389,0.5312,2.6222,0.0072,0.31417,0.3946,-2.65489,-2.90067,-6.51576,-3.11343,-2.50037,3.601245,0.658546,0.658546,1.9966713,1.900376453,1.879118925,85.86396525,115.3337311,108.3817672,-46.37956086,11,9,12
CuCuCo,NaN,NaN,90.41,158.17,110.5,181.13,93.57,167.29,158.17,0.90742,0.87011,0.99185,-0.86418,0.75088,0.5523,0.4876,2.6214,0.54926,0.3991,-2.67024,-2.43731,-2.97069,-3.04796,-2.42171,3.953934,0.772334,0.772334,2.027718524,1.965655863,1.815989873,83.58666224,114.5595676,101.1080502,-47.21066707,11,11,9
CuCuCu,97.84,138.58,92.76,155.39,116.94,177.02,109.01,171.46,138.58,0.89451,0.90721,0.88436,-0.8066,0.75627,0.5453,0.5476,0.4932,0.6551,0.4009,-2.42235,-2.56941,-2.51257,-2.81941,-2.14366,3.945544,0.824915,0.824915,1.991302206,1.963575002,1.900725386,84.53311988,113.1358061,103.2181125,-47.38584037,11,11,11
CuCuFe,159.37,201.98,93.43,162.3,110.45,176.35,128.26,181.49,162.3,0.90432,0.92427,1.0307,-0.87272,0.68277,-0.5265,-0.5538,3.6465,0.11939,0.3244,-2.75397,-3.09168,-3.83324,-3.32639,-2.32873,0.900821,0.859598,0.859598,2.051646264,1.96977486,1.808886629,84.35644365,113.4493095,104.5393307,-48.30658737,11,11,8
CuCuMn,144.95,187.19,95.29,162.88,104.85,171.15,92.07,154.99,154.99,0.88577,0.9133,1.12954,-0.93062,0.74881,-0.5178,-0.5282,4.57494,-0.16925,-0.3754,-2.55782,-2.76532,-2.69726,-3.045,-2.4607,0.726861,2.175278,0.726861,1.983436941,1.95221134,1.882246992,85.32184869,117.3655557,107.5274626,-44.69964831,11,11,7
CuCuNi,NaN,NaN,82.81,152.9,104.52,171.24,69.03,137.21,137.21,0.88934,0.91,0.99393,-0.88996,0.78209,0.5382,0.536,1.6039,0.51433,0.4187,-2.39263,-2.45476,-2.44754,-2.81802,-2.11263,4.052859,1.153201,1.153201,2.013555917,1.960071964,1.82479274,82.83022649,111.2289067,110.7861993,-51.21460765,11,11,10
CuCuZn,NaN,NaN,92.92,156.81,102.04,167.63,94.22,158.3,156.81,0.89904,0.90861,1.18929,-0.99254,0.76359,0.5497,0.546,0.0023,0.30492,0.4024,-2.33619,-2.50033,-5.8294,-2.45954,-2.07284,3.831435,1.215827,1.215827,1.981150561,1.961558963,1.871929465,83.56092536,112.0722871,101.6631267,-48.29084566,11,11,12
CuFeCo,NaN,NaN,91.37,159.61,115.12,187.52,104.66,163.56,159.61,0.85347,1.06475,0.90986,-0.886,0.75696,0.4975,3.7247,2.5376,0.50349,0.3895,-2.7486,-3.98872,-3.04248,-3.40767,-2.7326,3.85848,0.382138,0.382138,2.057823423,1.942120637,1.849561971,82.4785389,103.2400767,96.06803035,-54.33909052,11,8,9
CuFeCu,141.52,188.62,122.53,187.21,122.89,182.92,142.83,200.6,182.92,0.89235,1.23603,0.72704,-0.883,0.76666,0.5294,3.9442,0.1895,0.60582,0.4127,-2.56932,-4.42426,-1.61965,-3.38394,-2.41338,3.567297,0.6003,0.6003,1.993476858,1.837081404,1.979710314,90.86816293,122.8166206,116.407644,-37.6331376,11,8,11
CuFeNi,153.19,200.12,102.56,168.63,70.36,143.13,107.84,168.73,143.13,0.89202,1.10593,0.77457,-0.87226,0.73834,0.5497,3.8475,1.2902,0.54286,0.3864,-2.51209,-4.06217,-1.83707,-2.91398,-2.26535,3.536858,0.952352,0.952352,1.988825312,1.906495742,1.90686412,86.39542062,107.7523869,92.33147939,-48.59244389,11,8,10
CuFeZn,192.14,247,82.88,157.33,183.11,258.78,101.48,164.31,157.33,0.89054,0.89019,1.1941,-0.90649,0.56049,-0.5229,2.6856,0.0042,0.0575,-0.015,-2.93026,-3.69485,-6.80319,-3.56823,-1.39562,0.807811,0.952785,0.807811,2.039985822,1.840712399,1.91319698,86.33038624,106.1380786,106.4871697,-52.91522964,11,8,12
CuMnCu,126.65,176.68,81.89,150.96,116.56,191.57,121.07,183.5,150.96,0.85423,1.01581,0.71953,-0.81391,0.74077,-0.4248,3.7038,-0.1617,-0.15964,-0.3888,-2.53289,-3.3474,-1.79744,-3.34698,-2.68692,0.395274,3.033736,0.395274,2.039243131,1.833075229,2.017124685,89.41937771,123.4052385,116.0989083,-38.47725656,11,7,11
CuMnFe,172.47,215.88,87.76,161,119.15,184.13,119.21,177.13,161,0.84425,1.04449,0.95177,-0.87078,0.71948,-0.3727,4.4121,-3.4658,-0.24355,0.3949,-2.63416,-2.73616,-3.59144,-3.51852,-3.1919,0.185025,0.581154,0.185025,2.175433144,2.003656327,1.793542287,83.05698505,124.2917955,112.999347,-42.44792429,11,7,8
CuMnNi,150.18,196.53,87.36,155,128.63,198.08,90.49,151.83,151.83,0.90276,1.04488,0.84818,-0.88434,0.69015,0.5798,3.7163,1.3722,0.30486,0.2824,-2.60275,-2.9756,-2.10605,-2.88204,-2.22949,2.581702,0.639302,0.639302,2.021992163,1.909173554,1.916735263,89.10178846,113.796113,110.0301612,-45.81396242,11,7,10
CuNiCo,83.11,132.79,100.63,165.56,109.73,171.55,106.64,169.23,132.79,0.91848,0.98261,0.96233,-0.90279,0.76622,0.5583,1.5882,2.5821,0.53529,0.3992,-2.60915,-2.54114,-2.87876,-3.17175,-2.35506,4.052767,0.784991,0.784991,2.031491497,1.951098181,1.81172781,87.20117616,113.9800245,104.2663108,-46.45626641,11,10,9
CuNiCu,112.57,156.29,98.79,161.51,105.61,169.23,133.3,195.33,156.29,0.91608,1.02702,0.90273,-0.87764,0.77098,0.5619,1.6353,0.5014,0.59525,0.4088,-2.40256,-2.43444,-2.55425,-2.94943,-2.11882,4.0103,0.724371,0.724371,1.992069195,1.903114933,1.889065741,90.3011144,119.8860325,113.9888578,-40.44857097,11,10,11
CuNiMn,174.16,215.03,106.51,172.46,106.97,171.17,60.68,121.02,121.02,0.89033,1.03196,1.13559,-0.9705,0.74808,-0.5211,-1.6169,4.58318,-0.15939,-0.3691,-2.42188,-2.55449,-2.70152,-3.16646,-2.38433,0.800688,2.268551,0.800688,1.969641098,1.925140958,1.886177656,89.86338324,122.44287,117.2733308,-38.08677424,11,10,7
CuNiNi,NaN,NaN,94.51,160.21,99.48,178.25,89.71,153.5,153.5,0.91206,1.02097,1.01245,-0.93642,0.80415,0.5517,1.6156,1.6118,0.49834,-0.4246,-2.37209,-2.33348,-2.56621,-2.96426,-2.1272,1.338526,1.099437,1.099437,1.98578848,1.925589028,1.837215701,88.73909267,117.6210504,118.2069508,-42.97654296,11,10,10
CuNiZn,87.11,135.77,101.09,165.33,96.8,161.6,106.78,166.45,135.77,0.91488,1.0217,1.19631,-1.03689,0.75845,0.5645,1.6197,0.0043,0.30281,0.3935,-2.29808,-2.26682,-5.87677,-2.59761,-2.07379,3.754088,1.192933,1.192933,1.966541903,1.92153567,1.872671411,89.27616826,116.5266353,110.1543943,-43.36888267,11,10,12
CuZnCo,95.38,140.28,95.99,161.35,88.86,152.19,100.09,165.82,140.28,0.92876,1.21498,0.95551,-0.98427,0.75222,0.565,-0.012,2.5627,0.40396,0.3876,-2.72764,-6.20972,-2.96491,-3.13418,-2.41073,3.905303,0.591291,0.591291,2.03366974,1.979085084,1.799189527,85.90274045,121.1158145,107.4247828,-42.27052589,11,12,9
CuZnCu,81.29,132.17,86.02,149.9,119.17,179.3,124.75,183.12,132.17,0.91826,1.21706,0.91624,-0.98405,0.77129,0.5251,-0.0018,-0.4829,-0.18853,0.4175,-2.40466,-5.65424,-2.51945,-2.62566,-2.03761,1.056256,1.115594,1.056256,1.966472913,1.95589615,1.874639924,87.82424824,126.5716885,111.6131256,-36.60268881,11,12,11
CuZnFe,131.05,174.24,60.53,126.23,94.99,160.21,133.18,187.65,126.23,0.92142,1.22017,1.04466,-0.978,0.69135,-0.5356,0.0004,3.6533,0.27875,0.3272,-2.7242,-6.30661,-3.81453,-3.30708,-2.28165,0.921846,0.885828,0.885828,2.038284901,1.985066094,1.806198054,85.39150682,121.3514977,110.1539108,-42.43270411,11,12,8
CuZnMn,NaN,NaN,99.89,166.35,102.68,162.41,93.04,155.4,155.4,0.89613,1.22555,1.13697,-1.05531,0.75054,-0.5103,0.0142,4.55611,0.02482,-0.3775,-2.29194,-5.95523,-2.70697,-2.94606,-2.24811,0.886736,1.995334,0.886736,1.984535971,1.951786729,1.876886511,87.26215169,131.9194775,116.7297852,-31.98216604,11,12,7
CuZnNi,65.59,112.61,81.16,140,70.46,133.23,59.44,118.09,112.61,0.92272,1.23475,0.96682,-0.97084,0.76237,0.5683,-0.0064,1.5678,0.45546,0.405,-2.53219,-5.90502,-2.54801,-2.98139,-2.18221,3.907488,0.88133,0.88133,1.979481834,1.972595708,1.829203952,88.34800635,125.2072685,112.4002133,-37.38420645,11,12,10
CuZnZn,146.51,189.2,91.76,154.93,84.75,150.19,91.57,153.75,150.19,0.91998,1.22035,1.19818,-1.13334,0.75381,0.5736,-0.0062,0.0041,0.11357,0.3921,-2.33323,-5.59258,-5.8361,-2.31013,-2.07317,3.679695,1.173878,1.173878,1.966759875,1.949181114,1.868482252,86.76390992,117.9648138,106.8732132,-43.42186937,11,12,12
FeCoCo,175.66,222.08,128.85,187.53,120.68,182.17,104.87,167.09,167.09,1.13219,0.94564,0.97693,-0.91049,0.57103,3.8514,2.6588,2.5955,0.51876,0.1257,-4.34376,-2.98757,-2.87876,-3.58144,-1.74962,3.740604,0.908342,0.908342,1.940092066,2.004538826,1.884927198,80.15944923,129.8689051,108.7725569,-37.540783,8,9,9
FeCoCu,314,372.22,129.39,191.72,116.62,180.99,132.09,194.05,180.99,0.84192,0.8325,0.81764,-0.70807,0.57637,1.1078,0.8083,-0.3831,-0.23262,-0.0632,-2.48182,-1.85704,-2.51495,-4.06363,-1.52893,0.282995,1.293836,0.282995,1.895792251,1.90238262,1.962478529,88.16957576,132.1781233,112.4481449,-31.61862484,8,9,11
FeCoFe,183.73,231.31,130.74,194.82,114.82,187.46,119.26,184.3,184.3,1.13423,0.92009,1.01023,-0.92309,0.55485,3.8572,2.6456,3.6393,0.48622,0.1085,-4.60161,-3.28682,-3.76131,-3.91233,-2.09653,3.650209,0.339817,0.339817,1.955130061,2.027795209,1.879110327,78.88202663,128.7194524,104.7752875,-38.55156136,8,9,8
FeCoMn,172.77,215.58,128.29,186.92,116.72,178,112.34,174.25,174.25,1.14043,0.95818,1.09361,-0.95261,0.54655,3.8668,2.6733,4.68741,0.46878,0.1236,-4.31599,-2.97863,-2.62465,-3.36037,-1.60984,3.477772,0.979314,0.979314,1.926239254,1.990342257,1.982743189,80.90992677,133.7864665,110.0182209,-34.13412308,8,9,7
FeCoNi,173.52,216.08,134.42,198.32,117.66,177.96,109.24,167.12,167.12,1.13505,0.97483,0.89493,-0.89865,0.63092,3.8578,2.6804,1.4923,0.53961,0.235,-4.29992,-2.93838,-2.38451,-3.41184,-2.01839,3.887894,0.78491,0.78491,1.922831938,1.973296979,1.931419376,82.03333016,132.7203073,112.1291747,-34.48154206,8,9,10
FeCoZn,178.12,227.02,127.35,190.79,116.84,178.74,110.93,174.6,174.6,1.13962,0.94391,1.18334,-0.98842,0.54209,3.8563,2.6561,0.0071,0.3651,0.0826,-4.27136,-2.95607,-6.52586,-3.42668,-1.56805,3.438591,0.935356,0.935356,1.931233266,2.001083762,1.890522268,80.00596956,130.6589584,107.2329892,-36.8835188,8,9,12
FeCuCu,109.78,149.25,103.98,167.88,110.81,180.16,127.81,194.25,149.25,1.18899,0.86446,0.79478,-0.85488,0.76672,3.8463,-0.3765,-0.3088,0.17388,-0.3632,-4.74659,-2.42202,-2.31617,-3.87973,-2.45792,0.189486,1.456979,0.189486,1.831084558,1.974656311,1.958940431,88.63535927,135.8407326,116.54994,-26.55945938,8,11,11
FeCuFe,176.11,218.45,131.3,189.11,134.05,198.49,108.74,163.56,163.56,1.10979,0.69992,1.03144,-0.86147,0.66399,3.8372,0.3012,3.7137,0.53724,0.3133,-4.34382,-1.84259,-4.1473,-3.65863,-2.54583,3.352176,0.542556,0.542556,1.969010889,2.001823137,1.841220033,78.40718822,118.4711468,89.98277318,-43.45588117,8,11,8
FeCuMn,182.71,226.65,167.84,225.75,132.44,202.26,166.66,231.23,202.26,1.18666,0.71925,1.13878,-0.91838,0.78188,-3.8783,0.1924,4.62516,-0.2187,0.3829,-4.31339,-1.7328,-2.24559,-3.71918,-2.17899,1.496782,0.613968,0.613968,1.834834613,1.886807838,1.995510336,113.3949933,119.4337513,104.5021142,-26.56092458,8,11,7
FeCuNi,141.35,183.74,143.27,213,107.87,174.12,114.39,174.92,174.12,0.87576,0.87921,0.84352,-0.78261,0.64601,0.8133,-0.5256,1.4345,-0.02053,0.1961,-2.39946,-2.95662,-2.66723,-3.79164,-1.96166,0.624432,0.540375,0.540375,1.881619822,1.943870718,1.958602413,106.1843724,136.3164882,98.30210258,-21.6182012,8,11,10
FeCuZn,148.42,193.57,137.21,207.09,104.98,170.15,118.19,181.53,170.15,1.19511,0.80272,1.19359,-0.99439,0.65763,3.9285,-0.3886,0.018,0.10267,-0.1965,-4.34147,-2.4402,-6.65901,-3.54889,-1.86108,0.443168,1.866752,0.443168,1.900345038,1.929538115,1.900912612,104.8212996,126.3640932,96.93037922,-29.28980573,8,11,12
FeFeCo,190.63,239.02,126.37,180.28,128.97,191.5,100.88,159.55,159.55,1.09953,1.01981,0.97759,-0.91556,0.57303,3.7989,3.7603,2.5928,0.51639,0.1004,-3.85526,-4.06649,-2.97596,-3.52468,-1.68356,3.690638,1.147747,1.147747,1.956317557,2.052336325,1.854375224,78.96575429,130.1182884,108.1838717,-37.72255076,8,8,9
FeFeCu,146.97,195.47,111.52,172.28,135.21,199.44,131.82,188.5,172.28,1.19326,1.16798,0.68053,-0.89127,0.55579,3.8974,3.9375,0.1513,0.59563,0.0804,-4.44886,-4.66137,-1.64044,-3.62338,-1.37989,3.275623,0.599287,0.599287,1.876084604,1.975705347,2.036501898,91.46055127,134.4749084,114.2711821,-26.66293063,8,8,11
